Wardno,Partno,From,To,EnglishBoothAddress,MarathiBoothAddress
134,64,,,Z.P.Primary School Met Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . मेट. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,65,,,Z.P.Primary School Ghonsai Room No.1. Tal.Wada. Dist.Palghar.421312,जिल्हा परिषद प्राथमिक शाळा . घोनसई. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,66,,,New Z.P.Priamry School Dakivali Ground Floor.Room No1.Tal.Wada.Dist.Palghar.401204,नविन जिल्हा परिषद प्राथमिक शाळा . डाकीवली. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 401204
134,67,,,Z.P.Primary School Lohape. Room No.1. Tal.Wada. Dist.Palghar.401204,जिल्हा परिषद प्राथमिक शाळा . लोहपे. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 401204
134,68,,,Z.P.Primary School Chambale. Room No. 1. Tal.Wada. Dist.Palghar. 401204,जिल्हा परिषद प्राथमिक शाळा . चांबळे. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 401204
134,69,,,Z.P.Primary School Akloli. Room No.1. Tal. Bhiwandi. Dist Thane401204,जिल्हा परिषद प्राथमिक शाळा . अकलोली. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 401204
134,70,,,Z.P.Primary School Akloli. Room No. 2. Tal. Bhiwandi. Dist Thane 401204,जिल्हा परिषद प्राथमिक शाळा .अकलोली . खोली क्र. 2 तालुका भिंवडी जिल्हा ठाणे- 401204
134,71,,,Z.P.Primary School Ganeshpuri Room No.1. Tal. Bhiwandi. Dist Thane 401204,जिल्हा परिषद प्राथमिक शाळा .गणेशपुरी . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 401204
134,72,,,Z.P.Primary School Ganeshpuri Room No.3. Tal. Bhiwandi. Dist Thane. 401204,जिल्हा परिषद प्राथमिक शाळा .गणेशपुरी . खोली क्र. 2 तालुका भिंवडी जिल्हा ठाणे- 401204
134,73,,,Z.P.Primary School Bhiwali Room No.1. Tal. Bhiwandi. Dist Thane 401204,जिल्हा परिषद प्राथमिक शाळा . भिवाली. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 401204
134,74,,,Z.P.Primary School Usgaon Room No.1. Tal. Bhiwandi. Dist Thane 401204,जिल्हा परिषद प्राथमिक शाळा . ऊसगांव. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 401204
134,75,,,Z.P.Primary School Vadvali T.Vajreshwri Partition No. 1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .वडवली तर्फे वज्रेश्वरी . पार्टीशन न. 1 तालुका भिंवडी जिल्हा ठाणे-421302
134,76,,,Z.P.Primary School Vadvali T.Vajreshwri Partition No. 2. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .वडवली तर्फे वज्रेश्वरी . पार्टीशन न. 2 तालुका भिंवडी जिल्हा ठाणे-421302
134,77,,,Z.P.Primary School Mahalunge Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .महाळुंगे . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे-421302
134,78,,,Z.P.Primary School Ambadi Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . अंबाडी. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे-421302
134,79,,,Z.P.Primary School Ambadi Room No.2. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .अंबाडी . खोली क्र. 2 तालुका भिंवडी जिल्हा ठाणे-421302
134,80,,,Z.P.Primary School Chinchavali T. Kunde Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . चिंचवली तर्फे कुंदे. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे-421302
134,81,,,Z.P.Primary School Eksal-Sagaon. Room. No. 1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . एकसाल सागांव. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे-421302
134,82,,,Z.P.Primary School Eksal-Sagaon. Room. No. 2. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . एकसाल सागांव. खोली क्र. 2 तालुका भिंवडी जिल्हा ठाणे-421302
134,83,,,Z.P.Primary School Kusapur Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .कुसापुर . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे-421302
134,84,,,Z.P.Primary School Ghadne Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .घाडणे . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे-421302
134,85,,,Z.P.Primary School Kunde Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . कुंदे. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे-421302
134,86,,,Z.P.Primary School Dighashi Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . दिघाशी. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे-421302
134,87,,,Z.P.Primary School Dighashi Room No.2. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . दिघाशी. खोली क्र. 2 तालुका भिंवडी जिल्हा ठाणे-421302
134,88,,,Z.P.Primary School Zidke Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .झिडके . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,89,,,Z.P.Primary School Zidke Room No.2. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .झिडके . खोली क्र. 2 तालुका भिंवडी जिल्हा ठाणे- 421302
134,90,,,Z.P.Primary School Vedhe. Room No. 1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .वेढे . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,91,,,Z.P.Primary School Vedhe. Room No. 2. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .वेढे . खोली क्र. 2 तालुका भिंवडी जिल्हा ठाणे- 421302
134,92,,,Z.P.Primary School Ghotgoan Room No.1. Tal. Bhiwandi. Dist Thane 401204,जिल्हा परिषद प्राथमिक शाळा . घोटगांव. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 401204
134,93,,,Z.P.Primary School Dugad. Room No. 1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . दुगाड. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,94,,,Z.P.Primary School Dugad. Room No. 2. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . दुगाड. खोली क्र. 2 तालुका भिंवडी जिल्हा ठाणे- 421302
134,95,,,Z.P.Primary School Asnoli T. Dugad Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . अस्नोली तर्फे दुगाड. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,96,,,Z.P.Primary School Varet Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .वारेट . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,97,,,Z.P.Primary School Pahare Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .पहारे . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,98,,,Z.P.Primary School Dalonde Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . दलोंडे. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,99,,,Z.P.Primary School Kharivali Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .खरीवली . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,100,,,Z.P.Primary School Shedgoan Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . शेडगांव. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,101,,,Z.P.Primary School Asnoli Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .अस्नोली . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,102,,,Z.P.Primary School Base Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . बासे. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,103,,,Z.P.Primary School Kandali Bu. Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .कांदळी बु. . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,104,,,Z.P.Primary School Mainde Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . मैंदे. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,105,,,New Building Anganwadi Umberkhand Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . उंबरखांड. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,106,,,Z.P.Primary School Jambhivali T. Kunde Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . जाभिवली त. कुंदे. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,107,,,Z.P.Primary School Pachhapur Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .पाच्छापुर . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,108,,,Z.P.Primary School Shirole Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .शिरेाळे . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,109,,,Z.P.Primary School Dabhad. Room No. 1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .दाभाड. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे- 421302
134,110,,,Z.P.Primary School Dabhad. Room No. 2. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .दाभाड. खोली क्र. 2 तालुका भिंवडी जिल्हा ठाणे- 421302
134,111,,,Z.P.Primary School Jambhivali T. Khambale. Room No.1. Tal. Bhiwandi. Dist Thane,जिल्हा परिषद प्राथमिक शाळा . जांभिवली त. खंबाळे. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे-421302
134,112,,,Z.P.Primary School Chane Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . चाणे. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे-421302
134,113,,,Z.P.Primary School Kiravali-Duravali Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा . किरवली-दुरवली. खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे
134,114,,,Z.P.Primary School Awale Room No.1. Tal. Bhiwandi. Dist Thane 421302,जिल्हा परिषद प्राथमिक शाळा .आवळे . खोली क्र. 1 तालुका भिंवडी जिल्हा ठाणे-421302
