Wardno,Partno,From ,to,EnglishBoothAddress,MarathiBoothAddress
143,54,,,Model English School Kerliyan Samaj (Kumbharkhan Pada Dombivali West 421202) - Ground Floor Hall Partition No.4,मॉडेल इंग्लिश स्कूल (केरलीयन समाज) (कुंभारखान पाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला हॉल पार्टीशन क्र.४
143,55,,,Holy Cross School (Draupadi Kutir Kumbharkhan Pada Dombivali West 421202) - Ground Floor Room No.1,होली क्रॉस स्कूल (द्रोपदी कुटीर कुंभारखान पाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.१
143,56,,,Holy Cross School (Draupadi Kutir Kumbharkhan Pada Dombivali West 421202) - Ground Floor Room No.2,होली क्रॉस स्कूल (द्रोपदी कुटीर कुंभारखान पाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.२
143,57,,,Holy Cross School (Draupadi Kutir Kumbharkhan Pada Dombivali West 421202) - Ground Floor Room No.3,होली क्रॉस स्कूल (द्रोपदी कुटीर कुंभारखान पाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.३
143,58,,,Holy Cross School (Draupadi Kutir Kumbharkhan Pada Dombivali West 421202) - Open School Ground Mandap Partition,होली क्रॉस स्कूल (द्रोपदी कुटीर कुंभारखान पाडा डोंबिवली पश्चिम ४२१२०२) - शाळेचे मोकळे मैदान मंडप पार्टीशन
143,59,,,Kdmc Marathi School No.67 (Shivaji Nagar Dombivali West 421202) - Ground Floor Room No.1,कडोंमपा मराठी शाळा क्र.६७ (शिवाजी नगर डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.१
143,60,,,Kdmc Marathi School No.67 (Shivaji Nagar Dombivali West 421202) - Ground Floor Room No.2,कडोंमपा मराठी शाळा क्र.६७ (शिवाजी नगर डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.२
143,61,,,Kdmc Marathi School No.67 (Shivaji Nagar Dombivali West 421202) - Ground Floor Room No.3,कडोंमपा मराठी शाळा क्र.६७ (शिवाजी नगर डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.३
143,62,,,Kdmc Marathi School No.67 (Shivaji Nagar Dombivali West 421202) - Ground Floor Room No.4,कडोंमपा मराठी शाळा क्र.६७ (शिवाजी नगर डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.४
143,63,,,Vijay Gruh Nirman Socity Manorajan Office (Vijay Soc.Thakurli Dombivali West 421202) - Partition No.1,विजय गृह निर्माण सोसायटी मनोरंजन कार्यालय(विजय सोसायटी ठाकुर्ली डोंबिवली पश्चिम ४२१२०२) - पार्टीशन क्र.१
143,64,,,Vijay Gruh Nirman Socity Manorajan Office (Vijay Soc.Thakurli Dombivali West 421202) - Partition No.2,विजय गृह निर्माण सोसायटी मनोरंजन कार्यालय(विजय सोसायटी ठाकुर्ली डोंबिवली पश्चिम ४२१२०२) - पार्टीशन क्र.२
143,65,,,Bhoir Gymkhana Sports Training Center(Mahatma Phule Road Dombivali West 421202) - Open Hall Partition No.1,भोईर जिमखाना क्रीडा प्रशिक्षण केंद्र(महात्मा फुले रोड डोंबिवली पश्चिम ४२१२०२) - मोकळे हॉल पार्टिशन क्र.१
143,66,,,Bhoir Gymkhana Sports Training Center(Mahatma Phule Road Dombivali West 421202) - Open Hall Partition No.2,भोईर जिमखाना क्रीडा प्रशिक्षण केंद्र(महात्मा फुले रोड डोंबिवली पश्चिम ४२१२०२) - मोकळे हॉल पार्टिशन क्र.२
143,67,,,Ganpati Mandir Agri Sabhagruha(Navapada Dombivali West 421202) - Ground Floor Room No.1,गणपती मंदिर आगरी सभागृह(नवापाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.१
143,68,,,Ganpati Mandir Agri Sabhagruha(Navapada Dombivali West 421202) - Ground Floor Room No.2,गणपती मंदिर आगरी सभागृह(नवापाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.२
143,69,,,Ganpati Mandir Agri Sabhagruha(Navapada Dombivali West 421202) - Mandap Partition No.1,गणपती मंदिर आगरी सभागृह(नवापाडा डोंबिवली पश्चिम ४२१२०२) - मंडप पार्टीशन क्र.१
143,70,,,Ganpati Mandir Agri Sabhagruha(Navapada Dombivali West 421202) - Mandap Partition No.2,गणपती मंदिर आगरी सभागृह(नवापाडा डोंबिवली पश्चिम ४२१२०२) - मंडप पार्टीशन क्र.२
143,71,,,Kdmc P. Madanmohan Malviya Hindi Primary School No.87-3 (Navapada Dombivali West 421202) - Ground Floor Room No.1,कडोंमपा पं.मदनमोहन मालवीय हिंदी प्राथमिक शाळा क्र.८७/३ (नवापाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.१
143,72,,,Kdmc P. Madanmohan Malviya Hindi Primary School No.87-3 (Navapada Dombivali West 421202) - Ground Floor Room No.2,कडोंमपा पं.मदनमोहन मालवीय हिंदी प्राथमिक शाळा क्र.८७/३ (नवापाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.२
143,73,,,Kdmc P. Madanmohan Malviya Hindi Primary School No.87-3 (Navapada Dombivali West 421202) - Open School Ground Mandap,कडोंमपा पं.मदनमोहन मालवीय हिंदी प्राथमिक शाळा क्र.८७/३ (नवापाडा डोंबिवली पश्चिम ४२१२०२) - शाळेचे मोकळे मैदान मंडप
143,74,,,Sai Sanstha Ganesh Vidyalaya(Mamal Appartment Navapada Dombivali West 421202) - Ground Floor Room No.1,साई संस्था गणेश विद्यालय(मामल अपार्टमेंट नवापाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.१
143,75,,,Sai Sanstha Ganesh Vidyalaya(Mamal Appartment Navapada Dombivali West 421202) - Ground Floor Room No.2,साई संस्था गणेश विद्यालय(मामल अपार्टमेंट नवापाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.२
143,76,,,Sai Sanstha Ganesh Vidyalaya(Mamal Appartment Navapada Dombivali West 421202) - Ground Floor Room No.3,साई संस्था गणेश विद्यालय(मामल अपार्टमेंट नवापाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.३
143,77,,,Arunodaya Society( M.P.Road Dombivali West 421202) - Open Ground Natyagruha Room No.1,अरूणोदय सोसाइटी(एम.पी.रोड डोंबीवली पश्चिम 421202) - मोकळे मैदान नाट्यगृह खोली क्र.१
143,78,,,Arunodaya Society( M.P.Road Dombivali West 421202) - Open Ground Natyagruha Room No.2,अरूणोदय सोसाइटी(एम.पी.रोड डोंबीवली पश्चिम 421202) - मोकळे मैदान नाट्यगृह खोली क्र.२
143,79,,,Arunodaya Society( M.P.Road Dombivali West 421202) - Chinar Banglow Open Ground Mandap No.1,अरूणोदय सोसाइटी(एम.पी.रोड डोंबीवली पश्चिम 421202) - चिनार बंगला मोकळे मैदान मंडप पार्टिशन क्र.१
143,80,,,Arunodaya Society( M.P.Road Dombivali West 421202) - Chinar Banglow Open Ground Mandap No.2,अरूणोदय सोसाइटी(एम.पी.रोड डोंबीवली पश्चिम 421202) - चिनार बंगला मोकळे मैदान मंडप पार्टिशन क्र.२
143,81,,,Arunodaya Society( M.P.Road Dombivali West 421202) - Chinar Banglow Open Ground Mandap Partition No.3,अरूणोदय सोसाइटी(एम.पी.रोड डोंबीवली पश्चिम 421202) - (चिनार बंगला)मोकळे मैदान मंडप पार्टिशन क्र.३
143,82,,,Bhoir Gymkhana Sports Training Center(Mahatma Phule Road Dombivali West 421202) - Gymnastics Room,भोईर जिमखाना क्रीडा प्रशिक्षण केंद्र(महात्मा फुले रोड डोंबिवली पश्चिम ४२१२०२) - जिम्नॅस्टिक खोली
143,83,,,Swami Vivekanand High School Arunodaya Society (M.P.Road Dombivali West 421202) - Ground Floor Room No.1,स्वामी विवेकानंद माध्यमिक शाळा अरुणोदय सोसायटी (एम पी रोड डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.१
143,84,,,Swami Vivekanand High School Arunodaya Society (M.P.Road Dombivali West 421202) - Ground Floor Room No.2,स्वामी विवेकानंद माध्यमिक शाळा अरुणोदय सोसायटी (एम पी रोड डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.२
143,85,,,Swami Vivekanand High School Arunodaya Society (M.P.Road Dombivali West 421202) - Ground Floor Room No.3,स्वामी विवेकानंद माध्यमिक शाळा अरुणोदय सोसायटी (एम पी रोड डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.३
143,86,,,Swami Vivekanand High School Arunodaya Society (M.P.Road Dombivali West 421202) - Ground Floor Room No.4,स्वामी विवेकानंद माध्यमिक शाळा अरुणोदय सोसायटी (एम पी रोड डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.४
143,87,,,Swami Vivekanand High School Arunodaya Society (M.P.Road Dombivali West 421202) - Ground Hall Partition.1,स्वामी विवेकानंद माध्यमिक शाळा अरुणोदय सोसायटी (एम पी रोड डोंबिवली पश्चिम ४२१२०२) - तळमजला हॉल पार्टीशन क्र.१
143,88,,,Swami Vivekanand High School Arunodaya Society (M.P.Road Dombivali West 421202) - Ground Hall Partition.2,स्वामी विवेकानंद माध्यमिक शाळा अरुणोदय सोसायटी (एम पी रोड डोंबिवली पश्चिम ४२१२०२) - तळमजला हॉल पार्टीशन क्र.२
143,89,,,Swami Vivekanand High School Arunodaya Society (M.P.Road Dombivali West 421202) - Ground Floor Mandap Partition No.3,स्वामी विवेकानंद माध्यमिक शाळा अरुणोदय सोसायटी (एम पी रोड डोंबिवली पश्चिम ४२१२०२) - तळमजला मंडप पार्टीशन क्र.३
143,90,,,Swami Vivekanand High School Arunodaya Society (M.P.Road Dombivali West 421202) - Ground Floor Mandap Partition.4,स्वामी विवेकानंद माध्यमिक शाळा अरुणोदय सोसायटी (एम पी रोड डोंबिवली पश्चिम ४२१२०२) - तळमजला मंडप पार्टीशन क्र.४
143,91,,,Maratha Hitvardhak Mandal Karyalya (Mahatma Phule Road Dombivali West 421202) - Ground Floor Partition Room No.1,मराठा हितवर्धक मंडळ कार्यालय (महात्मा फुले रोड डोंबिवली पश्चिम ४२१२०२) - तळमजला पार्टीशन खोली क्र.१
143,92,,,Maratha Hitvardhak Mandal Karyalya (Mahatma Phule Road Dombivali West 421202) - Ground Floor Partition Room No.2,मराठा हितवर्धक मंडळ कार्यालय (महात्मा फुले रोड डोंबिवली पश्चिम ४२१२०२) - तळमजला पार्टीशन खोली क्र.२
143,93,,,Kidland English Medium School(Kopar Cross Road Dombivali West 421202) - Ground Floor Room No.1,किडलँड इंग्लिश मिडीयम स्कूल(कोपर क्रॉस रोड डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.१
143,94,,,Vande Matram Degree College(Nemade Road Telkos Wadi Dombivali West 421202 ) - Ground Floor Hall Partition No.1,वंदे मातरम डिग्री कॉलेज(नेमाडे मार्ग तेलकोसवाडी डोंबिवली पश्चिम ४२१२०२) - तळमजला हॉल पार्टिशन क्र. १
